RegionType,RegionName,City,State,Metro,SizeRank,MarketHealthIndex,SellForGain,PrevForeclosed,ForeclosureRatio,ZHVI,MoM,YoY,ForecastYoYPctChange,StockOfREOs,NegativeEquity,Delinquency,DaysOnMarket
City,Kansas City,Kansas City,MO,"Kansas City, MO",33,1.62712173754335,81.69,,,123100,0,7.32345248474281,0.031429731925264,,0.177398335450423,0.027491933462082,59
City,Virginia Beach,Virginia Beach,VA,"Virginia Beach, VA",34,1.62164628581858,84.4,5.6915,4.2384,260300,0.115384615384615,3.12995245641838,0.018866692278141,,0.153159501140609,0.029666657636875,74
City,Colorado Springs,Colorado Springs,CO,"Colorado Springs, CO",35,9.08286183610148,97.94,1.1294,,258500,0.779727095516569,9.48750529436679,0.03721083172147,,0.081062969625338,0.010771299881272,53
City,Atlanta,Atlanta,GA,"Atlanta, GA",36,8.79266289468881,100,,,217300,1.44724556489262,10.7543323139653,0.064381040036815,,0.194865766897378,0.029780594158149,63
City,Miami,Miami,FL,"Miami-Fort Lauderdale, FL",37,2.34988136521263,84.75,,,306000,0.99009900990099,2.75352585627938,0.004542483660131,,0.125949698887346,0.058809835415091,177.5
City,Oakland,Oakland,CA,"San Francisco, CA",38,7.38090892498631,92.31,3.4401,1.5812,687000,0.029120559114735,7.10944808231992,0.022053857350801,,0.040287998328398,0.024372685402625,46
City,Tulsa,Tulsa,OK,"Tulsa, OK",39,3.61106041248403,,,,111200,0.09000900090009,2.29990800367985,0.031672661870504,,0.089148648304408,0.035015878389664,73
City,Cleveland,Cleveland,OH,"Cleveland, OH",40,2.34805621463771,71.88,13.8793,6.5517,59300,0.508474576271186,11.6760828625235,0.037301854974705,,0.311175993801947,0.070650947381643,83
City,Honolulu,Honolulu,HI,"Urban Honolulu, HI",41,7.76145281985764,92.48,0.1488,,672400,-0.089153046062407,4.24806201550388,0.017461332540155,,0.044534959719823,0.014520232393622,81
City,Minneapolis,Minneapolis,MN,"Minneapolis-St Paul, MN",42,5.12319766380726,86.98,6.8158,2.1118,237900,0.549450549450549,5.63943161634103,0.023720050441362,,0.097085718158888,0.013386575355712,62
