news_cutter,Trusted News Brand in Sri Lanka,,4,2349,7944,0,"Walmart manager opens fire in break room

 https://t.co/TlifD1atYw

#walmart",['walmart'],2021-10-04 17:45:19+00:00
Abubaka23635327,"Graduate 🖤
Jobless ☺️
Poetry_LoveR 🥀
Middle Class 🌼
Hopes ✨
Dreams🤕
Autumn 🍁","Bahawalpur, Pakistan",1045,158,693,0,"Christmas in California 2021🎄Christmas 2022 will look like the video in the link: 

https://t.co/wWrCD9iWSy

#Japan #Thanksgiving2022 #Spain #mikewhite #GERJPN #Andor    #flacco #walmart #bluelock #DoctorWhoDay #Never #DaniellaPeters𓃵 #BLACKPINK_BORNPINK   #FIFAWorldCup22 https://t.co/kZEhUX9TmP","['Japan', 'Thanksgiving2022', 'Spain', 'mikewhite', 'GERJPN', 'Andor', 'flacco', 'walmart', 'bluelock', 'DoctorWhoDay', 'Never', 'DaniellaPeters𓃵', 'BLACKPINK_BORNPINK', 'FIFAWorldCup22']",2020-06-20 07:13:05+00:00
amphitritia2,,Neptune,714,229,19399,15,"https://t.co/V7VpffbxBF

Here are my thoughts:

1. STOP GIVING PEOPLE GUNS

2. NO, SERIOUSLY, STOP GIVING PEOPLE GUNS

#Walmart #Virginia #MassShooting #AbolishTheNRA #EnoughlsEnough #GunReformNow #GunControlNow #FireAbbottNotGuns #FireCruzNotGuns #BanAssaultWeapons",[],2018-06-10 13:13:51+00:00
Abubaka23635327,"Graduate 🖤
Jobless ☺️
Poetry_LoveR 🥀
Middle Class 🌼
Hopes ✨
Dreams🤕
Autumn 🍁","Bahawalpur, Pakistan",1045,158,693,0,"Christmas in California 2021🎄Christmas 2022 will look like the video in the link: 

https://t.co/wWrCD9iWSy

#Japan #Thanksgiving2022 #Spain #mikewhite #GERJPN #Andor    #flacco #walmart #bluelock #DoctorWhoDay #Never #DaniellaPeters𓃵 #BLACKPINK_BORNPINK   #FIFAWorldCup22 https://t.co/QbIEqCmXHa","['Japan', 'Thanksgiving2022', 'Spain', 'mikewhite', 'GERJPN', 'Andor', 'flacco', 'walmart', 'bluelock', 'DoctorWhoDay', 'Never', 'DaniellaPeters𓃵', 'BLACKPINK_BORNPINK', 'FIFAWorldCup22']",2020-06-20 07:13:05+00:00
Abubaka23635327,"Graduate 🖤
Jobless ☺️
Poetry_LoveR 🥀
Middle Class 🌼
Hopes ✨
Dreams🤕
Autumn 🍁","Bahawalpur, Pakistan",1045,158,693,0,"Christmas in California 2021🎄Christmas 2022 will look like the video in the link: 

https://t.co/wWrCD9iWSy

#Japan #Thanksgiving2022 #Spain #mikewhite #GERJPN #Andor    #flacco #walmart #bluelock #DoctorWhoDay #Never #DaniellaPeters𓃵 #BLACKPINK_BORNPINK   #FIFAWorldCup22 https://t.co/eVBKKen3T5","['Japan', 'Thanksgiving2022', 'Spain', 'mikewhite', 'GERJPN', 'Andor', 'flacco', 'walmart', 'bluelock', 'DoctorWhoDay', 'Never', 'DaniellaPeters𓃵', 'BLACKPINK_BORNPINK', 'FIFAWorldCup22']",2020-06-20 07:13:05+00:00
Abubaka23635327,"Graduate 🖤
Jobless ☺️
Poetry_LoveR 🥀
Middle Class 🌼
Hopes ✨
Dreams🤕
Autumn 🍁","Bahawalpur, Pakistan",1045,158,693,0,"Christmas in California 2021🎄Christmas 2022 will look like the video in the link: 

https://t.co/wWrCD9iWSy

#Japan #Thanksgiving2022 #Spain #mikewhite #GERJPN #Andor    #flacco #walmart #bluelock #DoctorWhoDay #Never #DaniellaPeters𓃵 #BLACKPINK_BORNPINK   #FIFAWorldCup22 https://t.co/UQCJS8fMct","['Japan', 'Thanksgiving2022', 'Spain', 'mikewhite', 'GERJPN', 'Andor', 'flacco', 'walmart', 'bluelock', 'DoctorWhoDay', 'Never', 'DaniellaPeters𓃵', 'BLACKPINK_BORNPINK', 'FIFAWorldCup22']",2020-06-20 07:13:05+00:00
Abubaka23635327,"Graduate 🖤
Jobless ☺️
Poetry_LoveR 🥀
Middle Class 🌼
Hopes ✨
Dreams🤕
Autumn 🍁","Bahawalpur, Pakistan",1045,158,693,0,"Christmas in California 2021🎄Christmas 2022 will look like the video in the link: 

https://t.co/wWrCD9iWSy

#Japan #Thanksgiving2022 #Spain #mikewhite #GERJPN #Andor    #flacco #walmart #bluelock #DoctorWhoDay #Never #DaniellaPeters𓃵 #BLACKPINK_BORNPINK   #FIFAWorldCup22 https://t.co/GL82DvRtXS","['Japan', 'Thanksgiving2022', 'Spain', 'mikewhite', 'GERJPN', 'Andor', 'flacco', 'walmart', 'bluelock', 'DoctorWhoDay', 'Never', 'DaniellaPeters𓃵', 'BLACKPINK_BORNPINK', 'FIFAWorldCup22']",2020-06-20 07:13:05+00:00
YearEightyThree,Black 🇺🇸,,1043,1269,36891,833,#BREAKING Walmart employee at #Chesapeake #Virginia says his manager came into the break room and shot multiple employees #Walmart #walmartBlackFriday https://t.co/NLK5xFFCJl,"['BREAKING', 'Chesapeake', 'Virginia']",2013-09-27 17:23:44+00:00
FidelisToJusti1,"Liberal. Democrat. Yankees, Jets, Knicks, StarTrek & Classic Rock. Blocked by Rudy Giuliani. #BLM #ONEV1 #ResistanceUnited  NO LISTS & NO DMs UNLESS I KNOW YOU!","Queens, NY",15020,15532,112190,37,"🧵1/ More people will be absent from the family holiday dinner table.

A day after a mass shooting at an LGBTQ+ nightclub in Colorado, a shooter murders at least 6 people at a #WalMart in Virginia.

#WalmartShooting

#OneV1
#DemVoice1
#VoteBlueNotQ

https://t.co/x3m1jFVN7p",[],2016-12-04 03:11:25+00:00
AppleCiderRadio,"Reality is a three edged sword: your side, their side, and the truth.",Directly Above the Center of the Earth,2448,1688,129270,348,"I hear people say they never thought that #GunViolence would impact them. I used to think the same way before I was shot in the throat. 

The reality is that none of us are immune.

Today, a #Walmart in #Virginia is trending. 

Tomorrow, it may be your Zip Code. #EnoughIsEnough",['GunViolence'],2012-02-03 00:37:26+00:00
Abubaka23635327,"Graduate 🖤
Jobless ☺️
Poetry_LoveR 🥀
Middle Class 🌼
Hopes ✨
Dreams🤕
Autumn 🍁","Bahawalpur, Pakistan",1045,158,693,0,"Christmas in California 2021🎄Christmas 2022 will look like the video in the link: 

https://t.co/wWrCD9iWSy

#Japan #Thanksgiving2022 #Spain #mikewhite #GERJPN #Andor    #flacco #walmart #bluelock #DoctorWhoDay #Never #DaniellaPeters𓃵 #BLACKPINK_BORNPINK   #FIFAWorldCup22 https://t.co/xtOialk7bm","['Japan', 'Thanksgiving2022', 'Spain', 'mikewhite', 'GERJPN', 'Andor', 'flacco', 'walmart', 'bluelock', 'DoctorWhoDay', 'Never', 'DaniellaPeters𓃵', 'BLACKPINK_BORNPINK', 'FIFAWorldCup22']",2020-06-20 07:13:05+00:00
